Property_Key,Property_ID,Latitude,Longitude,Accommodates,Availability_365,Has_availability,Reviews_per_month,Calculated_host_listings_count,Property_type,Instant_bookable,Room_type,Bedrooms,Beds,Bathrooms,Bathrooms_type,Neighbourhood_cleansed,Number_of_reviews,Number_of_reviews_l30d,Review_scores_rating,Review_scores_accuracy,Review_scores_checkin,Review_scores_cleanliness,Review_scores_communication,Review_scores_location,Review_scores_value,Amenity_Count,avgprice
1815,3237893,52.35671,4.88785,1,333,1,0.45,1,Entire apartment,0,Entire home/apt,1,0,1,shared bath(s),De Pijp - Rivierenbuurt,35,0,96,10,10,10,10,10,10,14,150
1816,3298808,52.3521,4.9147,2,0,1,0.07,1,Entire apartment,0,Entire home/apt,1,2,1,shared bath(s),Oud-Oost,5,0,92,10,10,9,10,10,10,12,80
1817,3321612,52.37016,4.87018,2,0,1,0.91,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Baarsjes - Oud-West,58,0,96,10,10,10,10,10,9,14,123
1818,3327403,52.37028,4.88511,2,0,1,0.14,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Centrum-West,11,0,82,9,10,9,10,10,8,5,90
1819,3341765,52.35583,4.88961,2,0,1,0.37,1,Entire apartment,0,Entire home/apt,0,1,0.5,shared bath(s),De Pijp - Rivierenbuurt,28,0,90,9,10,9,9,9,9,10,99.19125683
1820,3345451,52.34612,4.8477,2,0,1,0.32,1,Entire apartment,0,Entire home/apt,2,2,1,shared bath(s),Zuid,23,0,97,10,10,9,10,9,9,13,81.42465753
1821,3352830,52.36664,4.85408,2,0,1,0.04,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Baarsjes - Oud-West,2,0,0,0,0,0,0,0,0,14,97
1822,3397690,52.37093,4.918,2,0,1,0.08,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Centrum-Oost,6,0,97,10,10,9,10,10,9,9,115
1823,3401602,52.35585,4.89632,2,1,1,0.08,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Pijp - Rivierenbuurt,6,0,93,9,10,9,9,10,9,11,70
1824,3444136,52.34741,4.91445,2,0,1,0.44,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Watergraafsmeer,33,0,94,10,9,9,10,9,9,26,150
1825,3544468,52.37391,4.8482,4,0,1,0.29,1,Entire apartment,0,Entire home/apt,2,2,1.5,shared bath(s),Bos en Lommer,12,0,98,10,10,9,10,9,9,33,153.7349727
1826,1540431,52.35639,4.90432,2,0,1,0.03,2,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Pijp - Rivierenbuurt,3,0,92,9,9,9,10,9,9,7,121
1827,1579945,52.37125,4.8589,3,365,1,0.16,1,Entire apartment,0,Entire home/apt,2,3,1,shared bath(s),De Baarsjes - Oud-West,14,0,88,9,10,9,10,9,9,9,154.260274
